region_pair,arch,tunnel,workload,loss_pct,n_runs,connect_max_ms_mean,connect_max_ms_stdev,connect_mean_ms_mean,connect_mean_ms_stdev,connect_min_ms_mean,connect_min_ms_stdev,connect_sd_ms_mean,connect_sd_ms_stdev,cpu_pct_mean_mean,cpu_pct_mean_stdev,goodput_tcp_mbps_mean,goodput_tcp_mbps_stdev,goodput_udp_mbps_mean,goodput_udp_mbps_stdev,h2load_done_mean,h2load_done_stdev,h2load_errored_mean,h2load_errored_stdev,h2load_failed_mean,h2load_failed_stdev,h2load_succeeded_mean,h2load_succeeded_stdev,h2load_total_mean,h2load_total_stdev,http_2xx_mean,http_2xx_stdev,http_4xx_mean,http_4xx_stdev,http_5xx_mean,http_5xx_stdev,http_success_pct_mean,http_success_pct_stdev,n_curl_attempts_mean,n_curl_attempts_stdev,n_curl_ok_mean,n_curl_ok_stdev,observed_loss_pct_mean,observed_loss_pct_stdev,req_max_ms_mean,req_max_ms_stdev,req_mean_ms_mean,req_mean_ms_stdev,req_min_ms_mean,req_min_ms_stdev,req_per_sec_mean,req_per_sec_stdev,req_sd_ms_mean,req_sd_ms_stdev,retrans_count_mean,retrans_count_stdev,rtt_max_ms_mean,rtt_max_ms_stdev,rtt_mdev_ms_mean,rtt_mdev_ms_stdev,rtt_mean_ms_mean,rtt_mean_ms_stdev,rtt_min_ms_mean,rtt_min_ms_stdev,rx_bytes_delta_mean,rx_bytes_delta_stdev,ttfb_max_ms_mean,ttfb_max_ms_stdev,ttfb_mean_ms_mean,ttfb_mean_ms_stdev,ttfb_min_ms_mean,ttfb_min_ms_stdev,ttfb_p50_ms_mean,ttfb_p50_ms_stdev,ttfb_p95_ms_mean,ttfb_p95_ms_stdev,ttfb_p99_ms_mean,ttfb_p99_ms_stdev,ttfb_sd_ms_mean,ttfb_sd_ms_stdev,tx_bytes_delta_mean,tx_bytes_delta_stdev,anomaly_count
HIGH-arm,arm64,wireguard-tcp-fast,long-transfer,0.0,3,,,,,,,,,39.094,3.406,450.842,11.094,999.351,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,0,0.0,24
HIGH-arm,arm64,wireguard-tcp-fast,long-transfer,0.5,3,,,,,,,,,41.108,3.511,443.663,14.171,999.19,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,0,0.0,35
HIGH-arm,arm64,wireguard-tcp-fast,long-transfer,1.0,3,,,,,,,,,37.225,0.996,430.051,17.398,999.221,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,0,0.0,33
HIGH-arm,arm64,wireguard-tcp-fast,long-transfer,2.0,3,,,,,,,,,41.009,3.144,445.327,36.431,999.505,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,0,0.0,25
HIGH-arm,arm64,wireguard-tcp-fast,long-transfer,3.0,3,,,,,,,,,37.13,0.475,438.74,13.798,999.127,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,0,0.0,23
HIGH-arm,arm64,wireguard-tcp-fast,long-transfer,5.0,3,,,,,,,,,37.394,1.051,436.71,10.59,999.078,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,0,0.0,29
HIGH-arm,arm64,wireguard-tcp-fast,long-transfer,10.0,3,,,,,,,,,,,610.55,272.282,999.24,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,168,145.492,,,,,,,,,,,,,,,0,0.0,8
HIGH-arm,arm64,wireguard-tcp-fast,long-transfer,20.0,3,,,,,,,,,,,763.773,127.786,996.923,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,0,0.0,30
HIGH-arm,arm64,wireguard-tcp-fast,short-transfer,0.0,3,,,,,,,,,3.119,3.458,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.821,0.006,,,,,,,,,,,,,214.667,295.739,,,,,,,599.672,0.978,731.971,113.635,799.167,0.269,,,0,0.0,21
HIGH-arm,arm64,wireguard-tcp-fast,short-transfer,0.5,3,,,,,,,,,8.309,6.262,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.833,0.01,,,,,,,,,,,,,0,0.0,,,,,,,600.02,0.193,732.28,113.117,799.488,0.254,,,0,0.0,27
